Repository Name,Num Of Executables,AVG Heap Allocs Fraction,AVG Stack Allocs,SUM Stack Allocs,AVG Heap Allocs,SUM Heap Allocs
glog,13,0.0021166191316479,2776813.3076923075,36098573.0,83.76923076923077,1089.0
OpenCC,14,0.0353100941068638,47676.78571428572,667475.0,839.3571428571429,11751.0
json,75,0.0024193576759081,507184815.96,38038861197.0,287427.04,21557028.0
fmt,20,0.0284883332541859,1001949.1,20038982.0,5773.6,115472.0
MyTinySTL,1,0.0723472669320787,1986595599.0,1986595599.0,154933799.0,154933799.0
yaml-cpp,1,0.0002691383611881,1334678915.0,1334678915.0,359310.0,359310.0
benchmark,40,0.0443843647544309,226987471.65,9079498866.0,918948.7,36757948.0
spdlog,2,0.0887848959774594,2208549.5,4417099.0,95036.5,190073.0
magic_enum,22,0.0029891746960718,701023.7727272727,15422523.0,1845.2727272727277,40596.0
leveldb,3,0.0075169577531471,1332434494.3333333,3997303483.0,20316957.0,60950871.0
